Recipient,Supplier,Year of order,Number ordered,Weapon designation,Weapon description,Number delivered,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Albania,Germany,2006,6,Bo-105,light helicopter,6,2007,Second hand but modernized,Second-hand; aid; modernized to Bo-105E4 before delivery,0.79,4.75,4.75
Albania,Germany,2014,2,EC145,light helicopter,2,2015,New,,3.25,6.5,6.5
Algeria,Germany,2011,54,Fuchs-2,APC,54,2013; 2014,New,EUR195 m deal,0.4,21.6,21.6
Algeria,Germany,2014,926,Fuchs-2,APC,477,2015; 2016; 2017; 2018; 2019; 2020,New,Assembled in Algeria; delivery planned 2015-2025,0.4,370.4,190.8
Algeria,Germany,2012,2,MEKO-A200,frigate,2,2016,New,Algerian designation Erradii; option on 2 more,263.5,527,527
Algeria,Germany,1983,9,ship engine,ship engine,9,1988; 1995; 2002,New,MTU 20V-538 (4260hp) diesel engine for 3 Djebel Chenoua FAC produced in Algeria,1.5,13.5,13.5
Algeria,Germany,2012,12,ship engine,ship engine,12,2015; 2016,New,MTU 16V1163 (8050hp) diesel engine for 3 C-28A frigates from China,3,36,36
Argentina,Germany,1970,500,COBRA,anti-tank missile,500,1970; 1971,New,Probably Cobra-1600 version,0.01,5,5
Argentina,Germany,2012,10,G-120TP,trainer aircraft,10,2013; 2014,New,$26 m deal,0.4,4,4
Argentina,Germany,1972,100,Mamba,anti-tank missile,100,1973,New,,0.02,2,2
Argentina,Germany,1979,6,MEKO-140,frigate,6,1985; 1986; 1987; 1990; 2000; 2004,New,Produced under licence in Argentina; Argentine designation Espora; delivery of last 2 delayed 10-15 years until 2000-2004 for lack of funding (components delivered in 1980s),123,738,738
Argentina,Germany,1978,4,MEKO-360,frigate,4,1983; 1984,New,Argentine designation Almirante Brown; originally 6 ordered but 2 replaced by order for 6 MEKO-140 frigates,242,968,968
