state,EV10,EV00,EV90
Alabama,9,9,9
Alaska,3,3,3
Arizona,11,10,8
Arkansas,6,6,6
California,55,55,54
Colorado,9,9,8
Connecticut,7,7,8
D.C.,3,3,3
Delaware,3,3,3
Florida,29,27,25
Georgia,16,15,13
Hawaii,4,4,4
Idaho,4,4,4
Illinois,20,21,22
Indiana,11,11,12
Iowa,6,7,7
Kansas,6,6,6
Kentucky,8,8,8
Louisiana,8,9,9
Maine,4,4,4
Maryland,10,10,10
Massachusetts,11,12,12
Michigan,16,17,18
Minnesota,10,10,10
Mississippi,6,6,7
Missouri,10,11,11
Montana,3,3,3
Nebraska,5,5,5
Nevada,6,5,4
New Hampshire,4,4,4
New Jersey,14,15,15
New Mexico,5,5,5
New York,29,31,33
North Carolina,15,15,14
North Dakota,3,3,3
Ohio,18,20,21
Oklahoma,7,7,8
Oregon,7,7,7
Pennsylvania,20,21,23
Rhode Island,4,4,4
South Carolina,9,8,8
South Dakota,3,3,3
Tennessee,11,11,11
Texas,38,34,32
Utah,6,5,5
Vermont,3,3,3
Virginia,13,13,13
Washington,12,11,11
West Virginia,5,5,5
Wisconsin,10,10,11
Wyoming,3,3,3
