Recipient,Supplier,Year of order,Number ordered,Weapon designation,Weapon description,Number delivered,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Albania,France,2009,4,AS-532 Cougar,transport helicopter,4,2012; 2013; 2014,New,AS-532AL armed version,7.25,29,29
Algeria,France,1964,54,AML,armoured car,54,1965,New,AML-60 version,0.7,37.8,37.8
Algeria,France,1962,44,AMX-13/75,light tank,44,1962,Second hand,Probably Second-hand,0.36,15.84,15.84
Algeria,France,1994,9,AS-350/AS-550 Fennec,light helicopter,9,1995,Second hand,Second-hand; for Ministry of Interior,0.36,3.24,3.24
Algeria,France,2003,9,AS-355/AS-555 Fennec,light helicopter,9,2005,New,AS-355N version,1.3,11.7,11.7
Algeria,France,2012,2,BlueMaster,ASW sonar,2,2016,New,UMS-4132 version for MEKO-A200 frigate from Germany,10,20,20
Algeria,France,1969,28,CM-170 Magister,trainer aircraft,28,1970; 1971,New,Second-hand aircraft (from other users) sold back to French producer; rebuilt to CM-170-2 version and sold to Algeria; incl for combat role,1,28,28
Algeria,France,2014,3,FLASH,ASW sonar,3,2016,New,For 3 Lynx Mk-140 helicopters from UK; Compact FLASH version,2,6,6
Algeria,France,2007,21,FPB-98,patrol craft,21,2008; 2009; 2010; 2011,New,Algerian designation Deneb,6.5,136.5,136.5
Algeria,France,2018,20,FPB-98,patrol craft,14,2019; 2020,New,FPB-98 Mk-3 version,6.5,130,91
Algeria,France,1982,55,M-3 VTT,APC,55,1983; 1984,New,For presidential guard; incl 5 CP; 2 AEV; 2 ARV and 2 ambulance version,0.16,8.8,8.8
Algeria,France,1964,2,SA-313B Alouette-2,light helicopter,2,1964,New,,0.7,1.4,1.4
Algeria,France,2004,2,ship engine,ship engine,2,2006,New,6PC2.5L (3900hp) diesel engine; for 1 Daxin training ship from China; probably from Chinese production line,1.2,2.4,2.4
Angola,France,1985,6,AS365/AS565 Panther,helicopter,6,1986,New,AS-365M armed version; part of $47 m deal,3.25,19.5,19.5
Angola,France,1987,6,AS365/AS565 Panther,helicopter,6,1988; 1989,New,No. could be 10,3.25,19.5,19.5
Angola,France,1999,3,Cessna-172,trainer/light aircraft,3,2000,New,,0.1,0.3,0.3
Angola,France,1985,180,HOT,anti-tank missile,180,1986; 1987,New,For 6 SA-342K and possibly 6 SA-365N helicopters,0.02,3.6,3.6
Angola,France,2016,3,HSI-32,patrol craft,3,2019,New,Part of EUR495 m deal,5,15,15
Angola,France,1979,6,SA-316B Alouette-3,light helicopter,6,1980,New,,0.9,5.4,5.4
Angola,France,1985,6,SA-342 Gazelle,light helicopter,6,1986; 1987,New,Part of $47 m deal (incl 6 SA-365N helicopters); no. could be 7,0.85,5.1,5.1
Argentina,France,1972,216,aircraft engine,aircraft engine,216,1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,New,Turbomeca Astazou-16G (980hp) turboprop; for 108 IA-58 combat aircraft produced in Argentina,0.35,75.6,75.6
Argentina,France,1979,30,AM-39 Exocet,anti-ship missile,30,1982; 1983,New,For Super Etendard combat aircraft,0.75,22.5,22.5
Argentina,France,1972,360,AM-50 120mm,mortar,360,1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980,New,Produced under licence in Argentina ,0.25,90,90
Argentina,France,1968,50,AML,armoured car,50,1969; 1970; 1971,New,AML-90 version,0.7,35,35
Argentina,France,1967,58,AMX-13/75,light tank,58,1969; 1970,New,$10 m deal; incl some assembled in Argentina,0.9,52.2,52.2
Argentina,France,1967,2,AMX-13-PDP,armoured bridgelayer,2,1970,New,Part of $10 m deal,0.6,1.2,1.2
Argentina,France,1969,24,AMX-Mk-F3 155mm,self-propelled gun,24,1969,New,,0.8,19.2,19.2
Argentina,France,1968,180,AMX-VCI,APC,180,1969; 1970; 1971; 1972; 1973,New,Incl 150 assembled/produced under licence in Argentina,0.3,54,54
Argentina,France,1968,18,AS-12,anti-ship missile/ASM,18,1969,New,,0.02,0.36,0.36
Argentina,France,1973,30,AS-12,anti-ship missile/ASM,30,1974,New,For SA-319B helicopters,0.02,0.6,0.6
Argentina,France,1982,3,AS-532 Cougar,transport helicopter,3,1986,New,AS-332B version; option on 21 more not used,7.25,21.75,21.75
Argentina,France,1993,4,AS-555SN Fennec,ASW helicopter,4,1996,New,,1,4,4
Argentina,France,1994,3,AS365/AS565 Panther,helicopter,3,1995; 1996,New,,3.25,9.75,9.75
Argentina,France,2017,8,Atar-8,turbojet,8,2019,Second hand,Probably second-hand; spares for Super Etendard combat aircraft,0.4,3.2,3.2
Argentina,France,1957,10,MH-1521 Broussard,light aircraft,10,1958,New,,0.38,3.8,3.8
Argentina,France,1955,5,Djinn,light helicopter,5,1956,New,,0.14,0.7,0.7
Argentina,France,1999,1,Durance,replenishment ship,1,1999,Second hand,Second-hand; Argentine designation Patagonia,60,60,60
Argentina,France,1979,12,ERC-90,armoured car,12,1982,New,ERC-90 Lynx version,0.8,9.6,9.6
Argentina,France,1975,75,MM-38 Exocet,anti-ship missile,75,1976; 1977; 1978; 1979; 1980; 1981,New,For Sheffield (Hercules or Type-42) destroyers and D'Orves (Drummond) corvettes and for modernized Gearing (Py) and Sumner (Bouchard) destroyers,0.75,56.25,56.25
Argentina,France,1980,60,MM-40 Exocet,anti-ship missile,60,1983; 1984,New,For MEKO-360 (Almirante Brown) frigates,0.9,54,54
Argentina,France,1981,57,FL-12 105mm,tank turret,57,1981,New,For 57 SK-105 tanks from Austria,0.5,28.5,28.5
Argentina,France,1978,93,FL-12 105mm,tank turret,93,1978; 1979,New,For 93 SK-105 tanks from Austria,0.5,46.5,46.5
Argentina,France,2014,5,Ground Observer-80,ground surv radar,5,2015,New,,0.75,3.75,3.75
Argentina,France,2018,1,Gowind,OPV,1,2019,Second hand,Second-hand; part of EUR319 m deal; Argentinian designation Bouchard,12,12,12
