"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H0","028","Antigua and Barbuda"," Total","Total Trade","250","France",1996,1999,"CMT","AHS",23.25,18.96,8.59,0,45,321,0,197,3312.479,
"HS","H0","028","Antigua and Barbuda"," Total","Total Trade","826","United Kingdom",1996,1999,"CMT","AHS",21.98,22.12,8.89,0,45,1627,0,806,22224.854,
"HS","H0","028","Antigua and Barbuda"," Total","Total Trade","840","United States",1996,1999,"CMT","AHS",22.67,23,10.41,0,70,3867,6,1862,175877.2,
"HS","H0","032","Argentina"," Total","Total Trade","250","France",1992,1992,"TRN","AHS",14.24,13.72,7.6,0,35,4104,0,1263,572381,
"HS","H0","032","Argentina"," Total","Total Trade","250","France",1993,1993,"CMT","AHS",13.02,13.14,4.9,0,20,4507,0,267,738465.32,
"HS","H0","032","Argentina"," Total","Total Trade","250","France",1995,1995,"CMT","AHS",13.62,14.3,8.03,0,30,4894,0,1722,1039951.285,
"HS","H0","032","Argentina"," Total","Total Trade","826","United Kingdom",1992,1992,"TRN","AHS",13.68,10.6,7.55,0,35,3812,0,1075,196787,
"HS","H0","032","Argentina"," Total","Total Trade","826","United Kingdom",1993,1993,"CMT","AHS",13.07,10.59,4.84,0,20,4092,0,207,258215.989,
"HS","H0","032","Argentina"," Total","Total Trade","826","United Kingdom",1995,1995,"CMT","AHS",13.27,9.36,7.99,0,30,4420,0,1477,412822.465,
"HS","H0","032","Argentina"," Total","Total Trade","840","United States",1992,1992,"TRN","AHS",13.65,11.07,7.66,0,35,6879,0,2124,3181889,
"HS","H0","032","Argentina"," Total","Total Trade","840","United States",1993,1993,"CMT","AHS",12.4,11.97,4.92,0,20,7109,0,484,3857557.261,
"HS","H0","032","Argentina"," Total","Total Trade","840","United States",1995,1995,"CMT","AHS",12.81,9.17,7.88,0,30,7193,0,2461,4206312.397,
"HS","H0","036","Australia"," Total","Total Trade","250","France",1991,1991,"CMT","AHS",22.2,34.85,193.91,0,3000,3048,30,1237,998649.117,
"HS","H0","036","Australia"," Total","Total Trade","250","France",1993,1993,"CMT","AHS",11.42,12.42,24.87,0,663.74,3026,230,415,984604.626,
"HS","H0","036","Australia"," Total","Total Trade","826","United Kingdom",1991,1991,"CMT","AHS",19.45,36.2,146.52,0,3000,3979,27,1438,2359466.135,
"HS","H0","036","Australia"," Total","Total Trade","826","United Kingdom",1993,1993,"CMT","AHS",10.34,14.41,24.5,0,663.74,4051,238,473,2377485.23,
"HS","H0","036","Australia"," Total","Total Trade","840","United States",1991,1991,"CMT","AHS",20.11,15.56,158.61,0,3000,4646,32,1607,9133215.151,
"HS","H0","036","Australia"," Total","Total Trade","840","United States",1993,1993,"CMT","AHS",9.99,7.93,23.32,0,663.74,4674,299,555,8885301.923,
"HS","H0","052","Barbados"," Total","Total Trade","250","France",1996,1996,"WTO","AHS",25.02,33.67,32.08,0,198.33,483,14,225,5964.97,
"HS","H0","052","Barbados"," Total","Total Trade","826","United Kingdom",1996,1996,"WTO","AHS",26.69,20.46,89.61,0,2674.58,1675,18,667,48324.952,
"HS","H0","052","Barbados"," Total","Total Trade","840","United States",1996,1996,"WTO","AHS",24.77,18.73,74.7,0,2674.58,2433,19,973,221164.305,
"HS","H0","068","Bolivia"," Total","Total Trade","250","France",1993,1993,"CMT","AHS",9.82,9.53,0.97,5,10,490,0,0,15843.053,
"HS","H0","068","Bolivia"," Total","Total Trade","250","France",1994,1994,"CMT","AHS",9.98,9.92,0.32,2,10,624,0,0,9659.017,
"HS","H0","068","Bolivia"," Total","Total Trade","250","France",1995,1995,"CMT","AHS",9.65,9.3,1.16,5,10,592,0,0,13441.319,
"HS","H0","068","Bolivia"," Total","Total Trade","826","United Kingdom",1993,1993,"CMT","AHS",9.74,9.95,1.12,5,10,570,0,0,67216.047,
"HS","H0","068","Bolivia"," Total","Total Trade","826","United Kingdom",1994,1994,"CMT","AHS",9.93,9.98,0.53,2,10,672,0,0,13031.316,
"HS","H0","068","Bolivia"," Total","Total Trade","826","United Kingdom",1995,1995,"CMT","AHS",9.62,8.66,1.29,5,10,725,0,0,26228.069,
"HS","H0","068","Bolivia"," Total","Total Trade","840","United States",1993,1993,"CMT","AHS",9.73,9.39,1.17,5,10,3037,0,0,265071.169,
"HS","H0","068","Bolivia"," Total","Total Trade","840","United States",1994,1994,"CMT","AHS",9.99,9.97,0.28,2,10,3339,0,0,234987.659,
"HS","H0","068","Bolivia"," Total","Total Trade","840","United States",1995,1995,"CMT","AHS",9.62,9.35,1.34,5,10,3282,0,0,312589.798,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1989,1989,"CMT","AHS",43.13,37.81,17.63,0,85,5590,0,5192,596591.539,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1990,1990,"CMT","AHS",33.28,26.02,19.13,0,105,6048,10,4995,635259.173,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1991,1991,"CMT","AHS",27.03,19.71,16.54,0,85,6328,7,4798,651769.398,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1992,1992,"CMT","AHS",22.16,15.7,13.82,0,65,6430,0,4491,631243.01,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1993,1993,"CMT","AHS",15.33,13.85,8.23,0,40,6818,0,3780,735535.622,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1994,1994,"CMT","AHS",13.82,13.43,8.29,0,40,7462,23,3225,932647.878,
"HS","H0","076","Brazil"," Total","Total Trade","250","France",1995,1995,"CMT","AHS",14.02,12.9,7.14,0,33,5402,0,2256,1411551.223,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1989,1989,"CMT","AHS",41.24,38.53,16.65,0,85,5469,0,5037,460651.928,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1990,1990,"CMT","AHS",31.1,30.58,17.38,0,105,5655,4,4613,459539.753,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1991,1991,"CMT","AHS",25.23,22.79,15.99,0,85,6133,5,4554,489272.757,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1992,1992,"CMT","AHS",23.53,19.49,67.41,0,3000,6100,3,4193,434715.391,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1993,1993,"CMT","AHS",15.02,13.09,8.35,0,40,6573,0,3556,564614.47,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1994,1994,"CMT","AHS",13.71,12.19,8.48,0,40,7120,19,3015,780770.835,
"HS","H0","076","Brazil"," Total","Total Trade","826","United Kingdom",1995,1995,"CMT","AHS",13.75,12.51,7.2,0,33,5004,0,2015,987488.286,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1989,1989,"CMT","AHS",43.48,31.16,18.21,0,85,8758,0,8103,4032367.679,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1990,1990,"CMT","AHS",33.33,24.66,19.69,0,105,9404,19,7672,4504985.022,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1991,1991,"CMT","AHS",27.2,20.05,17.02,0,85,10061,20,7460,5395491.986,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1992,1992,"CMT","AHS",24.01,18.14,67.04,0,3000,10324,5,6939,5379417.199,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1993,1993,"CMT","AHS",14.99,13.94,8.25,0,40,10838,0,5838,6270371.021,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1994,1994,"CMT","AHS",13.56,14.02,8.28,0,40,11127,29,4771,8202661.597,
"HS","H0","076","Brazil"," Total","Total Trade","840","United States",1995,1995,"CMT","AHS",13.62,12.35,6.99,0,33,7728,0,3250,12750791.545,
"HS","H0","084","Belize"," Total","Total Trade","250","France",1996,1996,"CMT","AHS",23.84,23.39,14.51,0,70,71,2,23,373.694,
"HS","H0","084","Belize"," Total","Total Trade","826","United Kingdom",1996,1996,"CMT","AHS",18.01,13.29,10.44,0,45,694,0,232,11664.509,
"HS","H0","084","Belize"," Total","Total Trade","840","United States",1996,1996,"CMT","AHS",21.25,17.95,11.38,0,70,2588,4,1049,139728.667,
"HS","H0","124","Canada"," Total","Total Trade","250","France",1989,1989,"CMT","AHS",10.61,7.85,9.61,0,335.8,4418,9,689,1679299.774,
"HS","H0","124","Canada"," Total","Total Trade","250","France",1993,1993,"CMT","AHS",10.34,6.24,8.29,0,273.09,4430,7,663,1722338.584,
"HS","H0","124","Canada"," Total","Total Trade","250","France",1995,1995,"CMT","AHS",9.82,7.91,22.61,0,314.9,5235,33,749,2237869.218,
