ctry_yr,ccode,country,year,us_nukes,rus_nukes,uk_nukes,us_vis,uk_vis,fra_vis,rus_vis,chi_vis,us_econaid,us_bit,uk_bit,fra_bit,chi_bit,rus_bit,us_pact,uk_pact,fra_pact,rus_pact,chi_pact,us_words,us_ex,uk_ex,fra_ex,rus_ex,chi_ex,us_arms,uk_arms,fra_arms,rus_arms,chi_arms,us_troops,uk_troops,fra_troops,rus_troops,chi_troops,log_chi_arms,log_rus_arms,log_fra_arms,log_uk_arms,log_us_arms,log_us_words,log_us_econaid,log_us_troops,log_uk_troops,log_rus_troops,log_fra_troops,log_chi_troops,yr1950,yr1951,yr1952,yr1953,yr1954,yr1955,yr1956,yr1957,yr1958,yr1959,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012
Canada1950,20,Canada,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,27,0,0,0,0,0,557,48,0,0,0,0,0,0,0,0,0,0,0,1.690196,2.746634,1.447158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1951,20,Canada,1951,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,24,0,0,0,0,0,941,59,0,0,0,0,0,0,0,0,0,0,0,1.778151,2.974051,1.39794,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1952,20,Canada,1952,0,0,0,0,1,0,0,0,4.36E+07,0,0,0,0,0,1,1,1,0,0,39,0,0,0,0,0,1008,52,0,0,0,0,0,0,0,0,0,0,0,1.724276,3.003891,1.60206,7.639399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1953,20,Canada,1953,0,0,0,1,0,0,0,0,4.71E+07,0,0,0,0,0,1,1,1,0,0,50,0,0,0,0,0,1340,300,0,0,0,0,0,0,0,0,0,0,0,2.478566,3.127429,1.70757,7.672966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1954,20,Canada,1954,0,0,0,0,1,1,0,0,3.46E+07,0,0,0,0,0,1,1,1,0,0,13,0,0,0,0,0,890,316,0,0,0,0,0,0,0,0,0,0,0,2.501059,2.949878,1.146128,7.538831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1955,20,Canada,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,937,33,0,0,0,0,0,0,0,0,0,0,0,1.531479,2.972203,0.845098,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1956,20,Canada,1956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,611,106,0,0,0,0,0,0,0,0,0,0,0,2.029384,2.786752,0.7781513,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1957,20,Canada,1957,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,245,504,0,0,0,0,0,0,0,0,0,0,0,2.703291,2.390935,0.9542425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1958,20,Canada,1958,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,18,0,0,0,0,0,187,65,0,0,0,0,0,0,0,0,0,0,0,1.819544,2.274158,1.278754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1959,20,Canada,1959,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,12,0,0,0,0,0,206,163,0,0,0,0,0,0,0,0,0,0,0,2.214844,2.31597,1.113943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
