state-lower,state,stpost,year,incumb,two_senate_seats
Alabama,ALABAMA,AL,1980,open seat,
Alaska,ALASKA,AK,1980,open seat,
Arizona,ARIZONA,AZ,1980,GOP incumb,
Arkansas,ARKANSAS,AR,1980,Dem incumb,
California,CALIFORNIA,CA,1980,Dem incumb,
Colorado,COLORADO,CO,1980,Dem incumb,
Connecticut,CONNECTICUT,CT,1980,open seat,
Florida,FLORIDA,FL,1980,open seat,
Georgia,GEORGIA,GA,1980,Dem incumb,
Hawaii,HAWAII,HI,1980,Dem incumb,
Idaho,IDAHO,ID,1980,Dem incumb,
Illinois,ILLINOIS,IL,1980,open seat,
Indiana,INDIANA,IN,1980,Dem incumb,
Iowa,IOWA,IA,1980,Dem incumb,
Kansas,KANSAS,KS,1980,GOP incumb,
Kentucky,KENTUCKY,KY,1980,Dem incumb,
Maryland,MARYLAND,MD,1980,GOP incumb,
Missouri,MISSOURI,MO,1980,Dem incumb,
Nevada,NEVADA,NV,1980,GOP incumb,
New Hampshire,NEW HAMPSHIRE,NH,1980,Dem incumb,
New York,NEW YORK,NY,1980,open seat,
North Carolina,NORTH CAROLINA,NC,1980,Dem incumb,
North Dakota,NORTH DAKOTA,ND,1980,open seat,
Ohio,OHIO,OH,1980,Dem incumb,
Oklahoma,OKLAHOMA,OK,1980,open seat,
Oregon,OREGON,OR,1980,GOP incumb,
Pennsylvania,PENNSYLVANIA,PA,1980,open seat,
South Carolina,SOUTH CAROLINA,SC,1980,Dem incumb,
South Dakota,SOUTH DAKOTA,SD,1980,Dem incumb,
Utah,UTAH,UT,1980,GOP incumb,
Vermont,VERMONT,VT,1980,Dem incumb,
Washington,WASHINGTON,WA,1980,Dem incumb,
Wisconsin,WISCONSIN,WI,1980,Dem incumb,
Arizona,ARIZONA,AZ,1982,Dem incumb,
California,CALIFORNIA,CA,1982,open seat,
Connecticut,CONNECTICUT,CT,1982,GOP incumb,
Delaware,DELAWARE,DE,1982,GOP incumb,
Florida,FLORIDA,FL,1982,Dem incumb,
Hawaii,HAWAII,HI,1982,Dem incumb,
Indiana,INDIANA,IN,1982,GOP incumb,
Maine,MAINE,ME,1982,open seat,
Maryland,MARYLAND,MD,1982,Dem incumb,
Massachusetts,MASSACHUSETTS,MA,1982,Dem incumb,
Michigan,MICHIGAN,MI,1982,Dem incumb,
Minnesota,MINNESOTA,MN,1982,GOP incumb,
Mississippi,MISSISSIPPI,MS,1982,Dem incumb,
Missouri,MISSOURI,MO,1982,GOP incumb,
Montana,MONTANA,MT,1982,Dem incumb,
Nebraska,NEBRASKA,NE,1982,Dem incumb,
Nevada,NEVADA,NV,1982,Dem incumb,
New Jersey,NEW JERSEY,NJ,1982,open seat,
New Mexico,NEW MEXICO,NM,1982,GOP incumb,
New York,NEW YORK,NY,1982,Dem incumb,
North Dakota,NORTH DAKOTA,ND,1982,Dem incumb,
Ohio,OHIO,OH,1982,Dem incumb,
Pennsylvania,PENNSYLVANIA,PA,1982,GOP incumb,
Rhode Island,RHODE ISLAND,RI,1982,GOP incumb,
Tennessee,TENNESSEE,TN,1982,Dem incumb,
Texas,TEXAS,TX,1982,Dem incumb,
Utah,UTAH,UT,1982,GOP incumb,
Vermont,VERMONT,VT,1982,GOP incumb,
Virginia,VIRGINIA,VA,1982,open seat,
Washington,WASHINGTON,WA,1982,Dem incumb,
West Virginia,WEST VIRGINIA,WV,1982,Dem incumb,
Wisconsin,WISCONSIN,WI,1982,Dem incumb,
Wyoming,WYOMING,WY,1982,GOP incumb,
Alabama,ALABAMA,AL,1984,Dem incumb,
Alaska,ALASKA,AK,1984,GOP incumb,
Arkansas,ARKANSAS,AR,1984,Dem incumb,
Colorado,COLORADO,CO,1984,GOP incumb,
Delaware,DELAWARE,DE,1984,Dem incumb,
Georgia,GEORGIA,GA,1984,Dem incumb,
Idaho,IDAHO,ID,1984,GOP incumb,
Illinois,ILLINOIS,IL,1984,GOP incumb,
Iowa,IOWA,IA,1984,GOP incumb,
Kansas,KANSAS,KS,1984,GOP incumb,
Kentucky,KENTUCKY,KY,1984,Dem incumb,
Maine,MAINE,ME,1984,GOP incumb,
Massachusetts,MASSACHUSETTS,MA,1984,open seat,
Michigan,MICHIGAN,MI,1984,Dem incumb,
Minnesota,MINNESOTA,MN,1984,GOP incumb,
Mississippi,MISSISSIPPI,MS,1984,GOP incumb,
Montana,MONTANA,MT,1984,Dem incumb,
Nebraska,NEBRASKA,NE,1984,Dem incumb,
New Hampshire,NEW HAMPSHIRE,NH,1984,GOP incumb,
New Jersey,NEW JERSEY,NJ,1984,Dem incumb,
New Mexico,NEW MEXICO,NM,1984,GOP incumb,
North Carolina,NORTH CAROLINA,NC,1984,GOP incumb,
Oklahoma,OKLAHOMA,OK,1984,Dem incumb,
Oregon,OREGON,OR,1984,GOP incumb,
Rhode Island,RHODE ISLAND,RI,1984,Dem incumb,
South Carolina,SOUTH CAROLINA,SC,1984,GOP incumb,
South Dakota,SOUTH DAKOTA,SD,1984,GOP incumb,
Tennessee,TENNESSEE,TN,1984,open seat,
Texas,TEXAS,TX,1984,open seat,
Virginia,VIRGINIA,VA,1984,GOP incumb,
West Virginia,WEST VIRGINIA,WV,1984,open seat,
Wyoming,WYOMING,WY,1984,GOP incumb,
