Recipient,Supplier,Year of order,Number ordered,Weapon designation,Weapon description,Number delivered,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,United Kingdom,2009,2,Mi-17,transport helicopter,2,2010,Second hand,Second-hand Mi-17 version bought by UK for 'Project Curium' training of Afghan pilots in UK and donated to Afghanistan after end of programme,2.9,5.8,5.8
Algeria,United Kingdom,1976,10,aircraft engine,aircraft engine,10,1977; 1978; 1979,New,Rolls-Royce Dart turboprop for 5 F-27 transport aircraft from Netherlands,0.75,7.5,7.5
Algeria,United Kingdom,1974,12,aircraft engine,aircraft engine,12,1976,New,Rolls-Royce Dart turboprop for 6 F-27 transport aircraft from Netherlands,0.75,9,9
Algeria,United Kingdom,2007,6,AW101,transport helicopter,6,2010; 2011,New,Part of EUR402 m deal,12.5,75,75
Algeria,United Kingdom,1981,6,Kebir,patrol craft,6,1982; 1983; 1984; 1985,New,In 4 assembled/produced in Algeria; Algerian designation El Yadekh,9.3,55.8,55.8
Algeria,United Kingdom,1986,3,Kebir,patrol craft,3,1991; 1992; 1993,New,Assembled/produced in Algeria; Algerian designation El Yadekh,9.3,27.9,27.9
Algeria,United Kingdom,1990,6,Kebir,patrol craft,6,1997; 1998; 2001; 2003; 2005; 2006,New,Assembled/produced in Algeria; Algerian designation El Yadekh; more planned but cancelled,9.3,55.8,55.8
Algeria,United Kingdom,1981,2,LSL,landing ship,2,1984,New,$124 m deal; original 1981 order for 1 increased to 2 in 1982,31.5,63,63
Algeria,United Kingdom,2007,4,Super Lynx,helicopter,4,2010; 2011; 2012,New,Part of EUR402 m deal; Super Lynx Mk-130 version,4.75,19,19
Algeria,United Kingdom,2012,6,Super Lynx,ASW helicopter,6,2015; 2016,New,Super Lynx Mk-140 version,12.5,75,75
Angola,United Kingdom,1978,20,BN-2 Islander,light transport aircraft,20,1979; 1980; 1981; 1982,New,BN-2A version; from Romanian production line,0.6,12,12
Angola,United Kingdom,1979,1,F-27 Friendship,transport aircraft,1,1979,Second hand,Second-hand; FH-227 version,3.4,3.4,3.4
Angola,United Kingdom,2015,1,Seaspray,MP aircraft radar,1,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2
Argentina,United Kingdom,1979,4,aircraft engine,aircraft engine,4,1979,New,Rolls-Royce Dart turboprop for 2 F-27 transport aircraft from Netherlands,0.75,3,3
Argentina,United Kingdom,1971,4,aircraft engine,aircraft engine,4,1971,New,Rolls-Royce Dart turboprop for 2 F-27 transport aircraft from Netherlands,0.75,3,3
Argentina,United Kingdom,1968,16,aircraft engine,aircraft engine,16,1969,New,Rolls-Royce Dart turboprop for 8 F-27 transport aircraft from Netherlands,0.75,12,12
Argentina,United Kingdom,1967,4,aircraft engine,aircraft engine,4,1968,New,Rolls-Royce Dart turboprop for 2 F-27 transport aircraft from Netherlands,0.75,3,3
Argentina,United Kingdom,1980,4,aircraft engine,aircraft engine,4,1981,New,Rolls-Royce Dart turboprop for 2 F-27 transport aircraft from Netherlands,0.75,3,3
Argentina,United Kingdom,1977,3,aircraft engine,aircraft engine,3,1978,New,Rolls-Royce Gem-2 (890hp) turboshaft; spares for Lynx helicopters,0.35,1.05,1.05
Argentina,United Kingdom,1981,40,Blowpipe,portable SAM,40,1981,New,,0.06,2.4,2.4
Argentina,United Kingdom,1968,12,Canberra B-2,bomber aircraft,12,1970; 1971,Second hand but modernized,Second-hand but modernized before delivery to Canberra B-62 and Canberra B-64; $9.6 m or $22 m deal; incl 2 Canberra T-4 trainer version,5.61,67.32,67.32
Argentina,United Kingdom,1958,1,Colossus,aircraft carrier,1,1959,Second hand,Second-hand; Argentine designation Independencia,120,120,120
Argentina,United Kingdom,1970,5,Green Archer,artillery locating radar,5,1971,New,,3,15,15
Argentina,United Kingdom,1977,2,Lynx,ASW helicopter,2,1978,New,Lynx Mk-23 version,10,20,20
Argentina,United Kingdom,1970,75,Sea Dart,SAM,75,1976; 1977; 1978; 1979; 1980; 1981,New,For Sheffield (Hercules) destroyers,0.25,18.75,18.75
Argentina,United Kingdom,1968,250,Seacat,SAM,250,1970; 1971,New,Tigercat version,0.04,10,10
Argentina,United Kingdom,1963,100,Seacat,SAM,100,1965; 1968,New,For modernized Brooklyn (Belgrano) cruiser,0.04,4,4
Argentina,United Kingdom,1970,2,Sheffield,destroyer,2,1976; 1981,New,Incl 1 produced under licence in Argentina  (delivery of last delayed from 1975 to 1981 due to sabotage); Argentinian designation Hercules,300,600,600
Argentina,United Kingdom,1978,8,ship engine,ship engine,8,1983; 1984,New,Rolls-Royce Olympus-TN-3B (25440hp) gas turbine for 4 MEKO-360 (Almirante Brown) frigates from FRG,6,48,48
Argentina,United Kingdom,1978,8,ship engine,ship engine,8,1983; 1984,New,Rolls-Royce Tyne RM-1C (4950hp) gas turbine for 4 MEKO-360 (Almirante Brown) frigates from FRG; Tyne RM-1C version,1.5,12,12
Argentina,United Kingdom,1970,20,Shorland,APV,20,1970,New,For police,0.1,2,2
Argentina,United Kingdom,1974,10,Spey,turbofan,10,1975,New,For 5 F-28 transport aircraft from Netherlands,2,20,20
Argentina,United Kingdom,1997,9,Tactica,APC,9,1997,New,For use with peace-keeping forces in Cyprus,0.18,1.62,1.62
Argentina,United Kingdom,1967,6,Ton,minesweeper,6,1968; 1969,Second hand but modernized,Second-hand but modernized before delivery,7.59,45.54,45.54
Argentina,United Kingdom,1980,10,Viper,turbojet,10,1980,New,For 10 MB-339AA trainer aircraft from Italy; Viper-632 version,0.4,4,4
Austria,United Kingdom,2002,3,C-130H Hercules,transport aircraft,3,2003; 2004,Second hand but modernized,Second-hand; $36 m deal; C-130K version; modernized before delivery,18.48,55.44,55.44
Austria,United Kingdom,1956,56,Charioteer,tank destroyer,56,1956,Second hand,Second-hand,0.36,20.16,20.16
Austria,United Kingdom,1994,117,M-109A1 155mm,self-propelled gun,67,1994; 1995,Second hand,Second-hand; M-109A2 and M-109A3 version,0.44,51.48,29.48
Austria,United Kingdom,1996,5,MSTAR,ground surv radar,5,1997,New,,0.5,2.5,2.5
Austria,United Kingdom,1957,6,S-55,helicopter,6,1957,New,Whirlwind HAR-3 version,1.2,7.2,7.2
Austria,United Kingdom,1969,2,Skyvan,light transport aircraft,2,1969,New,,2.5,5,5
Austria,United Kingdom,1956,9,Vampire T-55,trainer aircraft,9,1957,New,,2.25,20.25,20.25
Australia,United Kingdom,1950,4,102mm Mk-20,naval gun,4,1954; 1955; 1956; 1957,Second hand but modernized,Probably Second-hand but modernized before delivery; for modernization of 4 Q destroyers,0.83,3.3,3.3
Australia,United Kingdom,2004,5,air refuel system,air refuel system,5,2011; 2012,New,For 5 A-330 MRTT tanker/transport aircraft from France,10,50,50
Australia,United Kingdom,2015,2,air refuel system,air refuel system,2,2018; 2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20
Australia,United Kingdom,1989,1,Appleleaf,replenishment tanker,1,1989,Second hand,Second-hand; on lease until bought in 1994; Australian designation Westralia,22,22,22
Australia,United Kingdom,1998,400,ASRAAM,BVRAAM,400,2000; 2001; 2002; 2003; 2004,New,$62 m deal (total costs for missiles and integration AUD488 m ($353 m)); for F/A-18 combat aircraft; delivered from 2000 but only operational from 2004,0.18,72,72
Australia,United Kingdom,2011,20,ASRAAM,BVRAAM,20,2012,New,Possibly second-hand,0.18,3.6,3.6
Australia,United Kingdom,1951,111,Avon,turbojet,111,1956; 1957; 1958; 1959; 1960; 1961,New,For 111 CA-27 Sabre (modified F-86F) combat aircraft from USA,1.25,138.75,138.75
Australia,United Kingdom,2017,1,AW139,helicopter,1,2017,Second hand,Second-hand; for Australian company for 15-month lease for SAR to Australian navy,2.4,2.4,2.4
