recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,22,78,280,245,521,412,144,69,94,72,251,320,368,227
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,
Algeria,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0,23,0,,114,84,200,170,15,,,,,29,,,,,6,3,,,,22,67,59,,,,,,,,11,11,,,,5,19,,3,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,,2,,,
Argentina,70,445,38,4,5,0,39,14,66,26,96,178,32,4,4,4,60,128,92,32,159,244,309,133,68,135,155,99,147,95,75,36,4,28,10,10,,8,4,4,14,,27,,48,28,9,82,139,196,59,6,12,11,19,3,9,15,17,8,3,1,3,6,4,18,6,34,10,11,7
Australia,,21,100,,,10,60,75,190,213,52,38,198,24,45,588,383,433,123,347,189,239,17,620,797,43,28,122,779,141,341,315,61,486,550,503,660,565,721,629,299,94,327,448,254,38,45,35,18,286,193,87,106,165,115,102,347,574,318,612,1392,994,579,147,304,836,889,947,907,1004,1132
Austria,,,,2,,,45,85,6,18,9,,36,180,,11,,,,,38,24,18,16,16,6,2,,8,23,23,,,105,,18,18,7,20,13,,,,,,,,34,36,,,,65,,,,,,,,,,,,,,,,,1,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,1,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,10,10,10,45,47,160,46,14,362,68,42,1,,53,42,198,4,,299,3,54,1,,63,3,27,3,,68,,,60,,15,,20,7,2,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,17,9,,,,,,11,,,18,25,,,9,,1,,,61,,,,,,,,,,,,,55,,54,,,,6,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,35,301,799,859,402,299,341,286,287,143,64,107,170,547,619,473,43,,,8,,,179,188,20,,40,37,33,476,286,503,422,583,575,287,91,91,407,203,313,115,14,12,12,5,3,18,26,48,18,18,37,21,9,3,3,4,6,12,3,2,6,2,2,7,4,7,1,4,1
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,6,,,2,,,,26,3,,4,2,4,2,2,1,14,14,1,2,1,12,16,5,2,16,1,4,4,1,5,1,,,6,6,,56,61,,11,9,13,9,,,,,9,18,,,,,,,,,,,1,1,1,6,,,,,,
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,25,,16,,,,,,,,,,,,,,,,,,1,,1,1
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10,16,4,10,,,1,,,,18,,,,15,,,,,,,,1,1,,,,,,,,2,2,
Brazil,,259,,28,7,53,14,110,134,125,63,191,45,84,25,147,54,218,140,34,73,108,319,363,142,442,184,9,101,10,12,12,2,2,2,23,34,101,47,336,39,24,7,,37,,45,131,,11,22,111,70,8,20,18,19,19,33,0,16,77,127,69,17,37,31,9,56,51,17
Brunei,,,,,,,,,,,,,,,,1,,,1,,5,10,,,14,,,,,,,1,12,26,,,13,,,,,,,,,,7,16,7,,,,,0,0,,,,,,,,,15,36,36,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,5,,,3,,,,3,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
Cambodia,,,,,,4,11,4,4,,,0,3,8,4,,9,2,,,6,22,100,122,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,17,,,,,3,3,,,,,,,,,,,,,,,,,,,,10,,,1,,3,0,,2,4,
Canada,216,235,946,1584,807,1241,615,260,179,206,166,1571,1194,945,711,487,306,104,261,497,623,455,309,56,224,195,13,13,13,35,383,395,220,646,646,848,788,765,656,12,20,425,118,114,310,325,313,261,66,102,162,83,38,56,70,90,68,400,350,99,197,311,181,170,202,316,128,183,66,77,72
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,14,3,9,57,,,,,,,,,,,,,,,,,1,,,,,,,,6,,2,6,,,2
Chile,1,247,16,10,28,5,40,24,32,2,32,43,19,121,21,37,60,,15,4,57,42,43,66,118,183,207,0,12,5,10,2,23,3,12,4,6,7,9,12,7,12,69,26,18,32,10,5,18,13,19,14,,8,16,,253,79,,30,132,39,38,31,61,81,18,0,44,1,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,98,,,16,,,,,,35,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,3,4,12,12,31,13,14,15,24,1,5,62,3,28,6,18,32,15,32,118,3,26,18,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,52,15,53,42,35,37,103,84,44,60,265,124,95,,4,27,122,16,147,58,80,77,99,25,55,15,36,3,13,17
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Costa Rica,,,,,,3,,,,,,,,1,,,0,,,,,,,2,,3,,,6,,1,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,55,,,,,,,,,,,,,22,,20,2,2,,
Cuba,,8,0,0,3,13,35,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
