country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
Afghanistan,,,,,,,
                ,26,Cessna-208 Caravanlight,transport ac,2011,2011-2012,26,Part of $88 m deal; probably aid; Cessna-208B version
       ,188,M-113,APC,2004,2005,188,Second-hand; aid; M-113A2 version; incl 15 M-577A2 command post version
                ,800,HMMWV Up-Armoured,APV,2006,2007-2008,800,Second-hand; aid
     ,4735,HMMWV Up-Armoured,APV,2008,2008-2011,4735,$760 m deal; aid; M-1151 and M-1152 versions
   ,4002,HMMWV Up-Armoured,APV,2010,2011-2013,4002,Part of $1 b deal; M-1152A1B2 version; incl for police
 ,237,HMMWV Up-Armoured,APV,2010,2012,237,$45 m deal; incl 137 M-1152 and 100 M-1151 version
   ,2566,HMMWV Up-Armoured,APV,2010,2011-2012,2566,Second-hand; M-1114 version
     ,41,ASV-150/M-1117,APC,2011,2011-2012,41,
    ,240,ASV-150/M-1117,APC,2011,2012-2013,240,"$257 m deal; MSFV version; incl command, ARV, AEV, ambulance and mortar carrier versions"
    ,6,Cessna-180 Skywagon,light aircraft,2011,2011,6,Part of $88 m deal; Cessna-182T version; for training
     ,744,HMMWV Up-Armoured,APV,2011,2012,744,
  ,6,MD-500E,light helicopter,2011,2011,6,$17-20 m aid; MD-530F version; incl for training (but armed 2015)
   ,71,ASV-150/M-1117,APC,2012,2014,71,$79 m deal; MSFV version
 ,136,ASV-150/M-1117,APC,2012,2013-2014,136,MSFV version
 ,4,C-130H Hercules,transport aircraft,2012,2013-2015,4,Second-hand; aid
     ,135,ASV-150/M-1117,APC,2013,2014-2015,135,$113 m deal; MSFV version
    ,222,MaxxPro,APC,2014,2015,222,Second-hand; incl 20 recovery vehicle version; aid
     ,12,MD-500E,light helicopter,2014,2015,12,Armed MD-530F version
     ,55,ASV-150/M-1117,APC,2015,2015,55,
     ,12,MD-500E,light helicopter,2015,2016,12,Armed MD-530F version
    ,65,ScanEagle,UAV,2015,2016-2018,65,$71 m deal
    ,1673,HMMWV Up-Armoured,APV,2016,2016-2017,1673,$356 m deal; incl 1259 M-1151A1B1 and 414 M-1151A1B2 version
     ,433,HMMWV Up-Armoured,APV,2016,2017,433,$109 m deal; incl 360 M-1152A1B2 and 73 M-1151A1B1 version
     ,53,S-70/UH-60A,helicopter,2016,2017-2020,53,Second-hand but modernized to UH-60A+ before delivery; aid
    ,55,ASV-150/M-1117,APC,2017,2018-2019,55,
     ,4300,HMMWV Up-Armoured,APV,2017,2018-2021,4300,Aid; more ordered but cancelled after Taliban took power in Afghanistan mid-2021
     ,1673,HMMWV Up-Armoured,APV,2017,2018-2021,1673,Second-hand; aid
   ,30,MD-500E,light helicopter,2017,2018-2019,30,Armed MD-530F version; Afghan designation Jengi
     ,250,Paveway,guided bomb,2017,2017-2019,250,Paveway-2 version; for Super Tucano (A-29B) trainer/combat aircraft
    ,5,ScanEagle,UAV,2017,2018,5,$19.6 m deal
     ,10,Cessna-208 Caravan,light transport ac,2018,2018-2020,10,$86 m deal; aid; armed Cessna-208B version
    ,35,ScanEagle,UAV,2018,2019,35,$58 m deal (incl operational support)
    ,55,ASV-150/M-1117,APC,2019,2020,55,Aid; MSFV version
    ,12,MD-500E,light helicopter,2019,2020-2021,12,Armed MD-530F version; Afghan designation Jengi
Albania,,,,,,,
,3,MaxxPro,APC,2016,2017,3,Second-hand
     ,103,HMMWV Up-Armoured,APV,2017,2017-2020,103,Second-hand; aid
     ,37,MaxxPro,APC,2018,2019,37,Second-hand; aid
     ,3,S-70/UH-60L,helicopter,2019,,,Second-hand; aid; delivery planned 2023
Algeria,,,,,,,
,2,Beech-18/C-45,light transport ac,1962,1963,2,For VIP transport
   ,7,Model-300,light helicopter,1963,1963,7,For training; officially exported to Switzerland but delivered to Algeria
     ,7,Musketeer,light aircraft,1976,1977-1979,7,Sierra version; no. could be 12
    ,3,TPS-43,air search radar,1977,1984,3,
   ,5,King Air,light transport ac,1978,1978,5,
   ,6,T-34C Turbo Mentor,trainer aircraft,1978,1978,6,Offically delivered for civilian use but used by air force
